role_name,permission,default_granted
Cell Leader,cells.manage,FALSE
Cell Leader,cells.reports.approve,FALSE
Cell Leader,cells.reports.create,TRUE
Cell Leader,cells.reports.delete,FALSE
Cell Leader,cells.reports.export,FALSE
Cell Leader,cells.reports.read,TRUE
Cell Leader,cells.reports.update,TRUE
Cell Leader,finance.batches.create,FALSE
Cell Leader,finance.batches.delete,FALSE
Cell Leader,finance.batches.lock,FALSE
Cell Leader,finance.batches.read,FALSE
Cell Leader,finance.batches.unlock,FALSE
Cell Leader,finance.batches.update,FALSE
Cell Leader,finance.entries.create,FALSE
Cell Leader,finance.entries.delete,FALSE
Cell Leader,finance.entries.export,FALSE
Cell Leader,finance.entries.read,FALSE
Cell Leader,finance.entries.update,FALSE
Cell Leader,finance.lookups.manage,FALSE
Cell Leader,finance.verify,FALSE
Cell Leader,registry.admin_notes.create,FALSE
Cell Leader,registry.admin_notes.delete,FALSE
Cell Leader,registry.admin_notes.read,FALSE
Cell Leader,registry.admin_notes.update,FALSE
Cell Leader,registry.attendance.create,FALSE
Cell Leader,registry.attendance.delete,FALSE
Cell Leader,registry.attendance.export,FALSE
Cell Leader,registry.attendance.read,FALSE
Cell Leader,registry.attendance.update,FALSE
Cell Leader,registry.cells.assign,FALSE
Cell Leader,registry.departments.create,FALSE
Cell Leader,registry.departments.delete,FALSE
Cell Leader,registry.departments.read,FALSE
Cell Leader,registry.departments.update,FALSE
Cell Leader,registry.firsttimers.create,FALSE
Cell Leader,registry.firsttimers.delete,FALSE
Cell Leader,registry.firsttimers.export,FALSE
Cell Leader,registry.firsttimers.read,FALSE
Cell Leader,registry.firsttimers.update,FALSE
Cell Leader,registry.people.create,FALSE
Cell Leader,registry.people.delete,FALSE
Cell Leader,registry.people.export,FALSE
Cell Leader,registry.people.merge,FALSE
Cell Leader,registry.people.read,FALSE
Cell Leader,registry.people.update,FALSE
Cell Leader,reports.export,FALSE
Cell Leader,reports.schedule,FALSE
Cell Leader,reports.view,FALSE
Cell Leader,system.audit.view,FALSE
Cell Leader,system.exports.full_pii,FALSE
Cell Leader,system.roles.assign,FALSE
